query-id,important-words
1,"coronavirus,disease,covid19,spread,outbreak"
2,"coronavirus,disease,weather,covid19,found"
3,"coronavirus,disease,covid19,immunity,behavior"
4,"coronavirus,disease,covid19,spread,rapid"
5,"covid19,animal,coronavirus,model,sarscov2"
6,"rapid,testing,test,coronavirus,sensitivity"
7,"coronavirus,disease,serological,test,covid19"
8,"coronavirus,disease,covid19,spread,rapid"
9,"coronavirus,disease,canada,covid19,british"
10,"social,distancing,covid19,measure,impact"
11,"coronavirus,disease,covid19,rapid,spread"
12,"coronavirus,disease,quarantine,covid19,health"
13,"coronavirus,disease,spread,covid19,rapid"
14,"coronavirus,disease,covid19,spreader,outbreak"
15,"coronavirus,disease,covid19,spread,body"
16,"coronavirus,disease,long,covid19,abuse"
17,"coronavirus,disease,trial,clinical,covid19"
18,"coronavirus,disease,mask,covid19,title"
19,"coronavirus,disease,covid19,alcohol,kill"
20,"ace,inhibitor,ace2,enzyme,system"
21,"coronavirus,disease,covid19,spread,outbreak"
22,"coronavirus,disease,covid19,impact,examine"
23,"coronavirus,disease,covid19,hypertension,spread"
24,"coronavirus,disease,covid19,diabetes,type"
25,"coronavirus,disease,covid19,biomarkers,spread"
26,"coronavirus,disease,covid19,symptom,spread"
27,"coronavirus,disease,covid19,outbreak,asymptomatic"
28,"coronavirus,disease,covid19,hydroxychloroquine,background"
29,"coronavirus,disease,covid19,repurposing,outbreak"
30,"coronavirus,disease,remdesivir,covid19,therapeutic"
31,"coronavirus,disease,flu,covid19,pandemic"
32,"coronavirus,disease,covid19,spread,rapid"
33,"coronavirus,disease,vaccine,candidate,covid19"
34,"coronavirus,disease,covid19,spread,outbreak"
35,"coronavirus,disease,covid19,public,spread"
